impact	Europe	Asia	America	Oceania	Africa	Other
Freshwater aquatic ecotoxicity (FAETP20) | Problem oriented approach: non baseline (CML, 1999) | FAETP 20 (Huijbregts, 1999 & 2000)	1069960125.33	3750255173.38	379218306.996	68917725.4229	164556881.716	775380999.84
Marine aquatic ecotoxicity (MAETP20) | Problem oriented approach: non baseline (CML, 1999) | MAETP 20 (Huijbregts, 1999 & 2000)	48255050407.4	134708632227	18659692123.8	2033586101.44	9339872534.43	49255716141.2
Freshwater sedimental ecotoxicity (FSETP20) | Problem oriented approach: non baseline (CML, 1999) | FSETP 20 (Huijbregts, 1999 & 2000)	3330275736.67	11893453002.2	1153719136.95	220721112.035	499912028.901	2312848908.99
Marine sedimental ecotoxicity (MSETP20) | Problem oriented approach: non baseline (CML, 1999) | MSETP 20 (Huijbregts, 1999 & 2000)	116547446469	364507633944	42830779366.9	5958102971.04	20714624871.9	104311153452
Terrestrial ecotoxicity (TETP20) | Problem oriented approach: non baseline (CML, 1999) | TETP 20 (Huijbregts, 1999 & 2000)	236596672.066	553782245.241	103842776.388	7225887.85025	56957653.3753	322574990.8
human toxicity (HTP100) | Problem oriented approach: non baseline (CML, 1999) | HTP 100 (Huijbregts, 1999 & 2000)	2.52931603717e+12	1.9812393764e+12	692815524510	17872470481.6	354880596751	2.40547790662e+12
Freshwater aquatic ecotoxicity (FAETP100) | Problem oriented approach: non baseline (CML, 1999) | FAETP 100 (Huijbregts, 1999 & 2000)	1369931552.74	4456022006.44	492634450.595	77882239.3454	223354514.503	1102838642.71
Marine aquatic ecotoxicity (MAETP100) | Problem oriented approach: non baseline (CML, 1999) | MAETP 100 (Huijbregts, 1999 & 2000)	167349288363	345213490003	71404696254.3	3761065540.54	38247741541.6	216731067980
Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	4149511574.82	13982771718.5	1462164844.53	249243968.47	659142201.897	3180637366.06
Marine sedimental ecotoxicity (MSETP100) | Problem oriented approach: non baseline (CML, 1999) | MSETP 100 (Huijbregts, 1999 & 2000)	260219177094	629736152277	106834507646	8367336967.06	55903420574.6	305129264858
Terrestrial ecotoxicity (TETP100) | Problem oriented approach: non baseline (CML, 1999) | TETP 100 (Huijbregts, 1999 & 2000)	1113669892.79	2561755486.97	495204451.34	32863935.9246	273097246.458	1546069515.3
human toxicity (HTP500) | Problem oriented approach: non baseline (CML, 1999) | HTP 500 (Huijbregts, 1999 & 2000)	2.53017166814e+12	1.9825087246e+12	693275679013	17886175234.6	355166158665	2.4068051125e+12
Freshwater aquatic ecotoxicity (FAETP500) | Problem oriented approach: non baseline (CML, 1999) | FAETP 500 (Huijbregts, 1999 & 2000)	2066690146.32	5758845516.87	804203465.781	86173110.8142	393161910.345	2098998525.62
Marine aquatic ecotoxicity (MAETP500) | Problem oriented approach: non baseline (CML, 1999) | MAETP 500 (Huijbregts, 1999 & 2000)	770171184119	1.35379397314e+12	345083937832	10860244897.4	189444919787	1.09552536364e+12
Freshwater sedimental ecotoxicity (FSETP500) | Problem oriented approach: non baseline (CML, 1999) | FSETP 500 (Huijbregts, 1999 & 2000)	5899664575.52	17277602154.1	2254468511.79	269891529.235	1092383914.94	5715109005.8
Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	860013937317	1.63767224045e+12	381528774839	15439858003.4	208112575351	1.18633161212e+12
Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	4639774057.59	10383712187.3	2127282123.24	132294190.913	1186254913.02	6618239137.88
