impact	Europe	Asia	America	Oceania	Africa	Other
photochemical oxidation (MOIR; high NOx) | Problem oriented approach: non baseline (CML, 1999) | MOIR; high NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )	2101523378.88	5547940690.47	2728434416.4	144328752.569	1317207445.59	1387344881.42
photochemical oxidation (EBIR; low NOx) | Problem oriented approach: non baseline (CML, 1999) | EBIR; low NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )	2685307471.25	7085452018.02	3486198517.23	184545368.934	1682935757.72	1772844919.44
acidification (incl. fate, average Europe total, A&B) | Problem oriented approach: baseline (CML, 1999) | AP ( Huijbregts, 1999; average Europe total, A&B)	46730873768.2	78931346421	57126195575.9	3338388372.02	14829861588.1	47149280112.5
acidification (fate not incl.) | Problem oriented approach: non baseline (CML, 1999) | AP (Hauschild & Wenzel (1998).	51846990149.8	83691295596.7	62545662350.9	3628887401.62	16070213558.8	52372143408.7
eutrophication (fate not incl.) | Problem oriented approach: baseline (CML, 1999) | EP (Heijungs et al. 1992))	7651830051.02	10889884559.3	9081168399.89	531765173.62	2492360812.06	8147386933.22
eutrophication (incl. fate, average Europe total, A&B) | Problem oriented approach: non baseline (CML, 1999) | EP ( Huijbregts, 1999; average Europe total, A&B)	82080603108.8	116286999300	97138676799.6	5700192918.9	26098530723.4	93423992396.7
odour | Problem oriented approach: non baseline (CML, 1999) | 1/OTV	1.38185947882e+16	2.03611882156e+16	1.70611010931e+16	1.06480998891e+15	5.2285519071e+15	1.91573903992e+16
Climate change midpoint | ILCD recommended CF | Global warming potential 100 years	6.9274103864e+12	1.02872859408e+13	8.59651317041e+12	469523259772	1.9081331545e+12	4.21395504975e+12
Climate change endpoint, human health | ILCD recommended CF | Disability Adjusted Life Years (DALY)	9698080.91344	14401701.9697	12034696.2625	657304.388139	2671184.36051	5899349.96999
Climate change endpoint, ecosystems | ILCD recommended CF | Potentially Disappeared Fraction of species (PDF)	54915.7400508	81545.2337534	68145.9385939	3721.42915412	15119.8058984	33403.7667873
Human toxicity midpoint, cancer effects | ILCD recommended CF | Comparative Toxic Unit for human (CTUh)	30945.1929284	33720.9104955	19273.9279539	890.122560366	3669.88272806	10911.3289501
Human toxicity midpoint, non-cancer effects | ILCD recommended CF | Comparative Toxic Unit for human (CTUh)	4796693.82681	5569423.79565	4379911.3496	176100.899711	971836.604261	2248349.89434
Human toxicity endpoint, cancer effects | ILCD recommended CF | Disability Adjusted Life Years (DALY)	355795.35691	387611.399165	221610.987398	10233.3322987	42198.3572675	125447.573761
Human toxicity endpoint, non-cancer effects | ILCD recommended CF | Disability Adjusted Life Years (DALY)	12945950.4741	15028421.7607	11821603.795	475250.668891	2623207.26107	6068073.85369
Particulate matter/Respiratory inorganics midpoint | ILCD recommended CF | emission-weighed average PM2.5 equivalent	7472827383.21	22719087990.8	8503375122.31	435924404.206	6614200147.13	6727502954.72
Particulate matter/Respiratory inorganics endpoint | ILCD recommended CF | Disability Adjusted Life Years (DALY)	13451089.2337	40894358.2311	15306075.1484	784663.924052	11905560.23	12109505.2755
Photochemical ozone formation midpoint, human health | ILCD recommended CF | Photochemical ozone creation potential (POCP)	15850805324.4	31364825041.2	26572242078.6	1055806172.96	12334439038.2	12170241028.4
Photochemical ozone formation endpoint, human health | ILCD recommended CF | Disability Adjusted Life Years (DALY)	618.302624512	1223.52409752	1036.47253881	41.1857410093	481.128248774	474.716014911
Acidification midpoint | ILCD recommended CF | Accumulated Exceedance (AE)	58302768161.2	99023370384.7	73272480788.1	4490134089.13	21202287511	70840093341.8
Acidification endpoint | ILCD recommended CF | Change in potentially not occuring fraction of plant species per change in base saturation	269.59011395	455.303663079	338.556293403	20.7627185992	98.2072327748	329.524784241
Eutrophication terrestrial midpoint | ILCD recommended CF | Accumulated Exceedance (AE)	186551029641	274876040911	230324864758	14374934850.2	70585450746	258624770389
Eutrophication marine midpoint | ILCD recommended CF | Potentially Disappeared Fraction of species (PDF)	1547682616.28	2280453080.15	1910843322.43	119258718.757	585597813.596	2145627724.71
Ecotoxicity freshwater midpoint | ILCD recommended CF | Comparative Toxic Unit for ecosystems (CTUe)	2.15488095158e+12	2.48590053225e+12	2.35924264258e+12	83565180868	539830165698	1.15510302533e+12
Ecotoxicity freshwater endpoint | ILCD recommended CF | Potentially Disappeared Fraction of species (PDF)	2.15488095158e+12	2.48590053225e+12	2.35924264258e+12	83565180868	539830165698	1.15510302533e+12
GHG emissions AR5 (GWP100) | GWP100 (IPCC, 2010)	7.25263570266e+12	1.07314442988e+13	9.16754632587e+12	493383810184	1.98711307471e+12	4.35768600794e+12
Nitrogen	10907125574.8	21272953828.5	11487220737.6	591435630.897	2394283702.58	7073042798.65
Phosphorous	3372277481.29	10425892827.5	9837723902.04	726135447.622	1707202780.38	2984980989.6
PM10	4671831873.41	15325680441.6	5255206966.19	250591864.309	4741961772.35	3857597047.87
PM25	3669555926.48	12416292391.5	4134566276.06	179925679.281	4405090018.25	3115183877.89
SOx	12649322061.6	28650825934	16601492738	972830475.292	4131344085.14	9912041478.12
NOx	18894728614.3	23947208032.3	19822507473	934826892.573	3013301312.6	9206243396.75
Domestic Extraction Used - Crop and Crop Residue	1222186.85865	2798223.11645	2065737.11993	82483.0682177	547222.709698	932646.102476
Domestic Extraction Used - Grazing and Fodder	1694703.01286	3119578.76883	3271329.55958	202298.065938	1159874.45403	1301636.64776
Domestic Extraction Used - Forestry and Timber	510166.253588	652546.810118	599258.396587	22400.4539294	378739.630012	239287.829216
Domestic Extraction Used â Fisheries	17728.7195234	33167.3292887	18210.2001153	588.895911723	6169.50788827	13627.2049348
Domestic Extraction Used - Non-metalic Minerals	4792890.96514	13314731.5835	5323631.30512	273287.427389	663408.783299	2873330.42656
Domestic Extraction Used - Iron Ore	296833.307826	1044206.3037	556787.537506	162480.484182	47716.6070057	210881.598861
Domestic Extraction Used - Non-ferous metal ores	516713.885334	1255001.39055	1941685.96373	144955.229774	145210.483226	336697.003685
Unused Domestic Extraction - Crop and Crop Residue	715152.96999	1583208.76318	1056894.87875	35343.8537104	377056.321164	495158.949643
Unused Domestic Extraction - Grazing and Fodder	197565.874861	91176.5036427	172643.678652	4383.6800321	10181.0883055	43116.8276415
Unused Domestic Extraction - Forestry and Timber	83359.7630607	98272.2167976	90247.9298591	3389.09042281	56966.7751381	36268.6803141
Unused Domestic Extraction â Fisheries	3809.82886057	6349.56687927	3554.60768511	116.743855445	1404.59341487	2882.2795989
Unused Domestic Extraction - Coal and Peat	5819968.89523	8172391.63452	7520765.78993	2432412.09556	931492.038429	2137407.1553
Unused Domestic Extraction - Oil and Gas	263406.90856	252738.818786	278162.586485	13923.4782965	50367.1472829	127713.045374
Unused Domestic Extraction - Non-metalic Minerals	381722.907795	186751.530515	117084.438316	5803.50951412	13731.4146673	55766.0970629
Unused Domestic Extraction - Iron Ore	222437.018467	897458.4009	484857.738036	188231.142476	43856.1593485	187462.56602
Unused Domestic Extraction - Non-ferous metal ores	583183.586066	1032269.82002	2925728.30352	165648.388292	215281.817173	361930.623031
Land use Crop, Forest, Pasture	13118596.1141	12734564.7174	17555287.4336	1869033.26383	8750970.02877	7044695.8557
