region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Operating surplus: Remaining net operating surplus	90697.3781155	30914.2128163	740056.34779	45185.6389212	12263.802535	695079.038854	164104.683556	1481348.47293	124063.449175	9061.8481937	669535.63907	8373.03546396	8619.89528061	667041.228435	117231.528173	713092.561224	55520.621591	53056.8081716	813021.332463	19238.3353181	9811.54072501	473129.892955	143529.533926	1702543.36031	3799.81367192	7060.62566479	36354.9569327	329.457683263	260.090510718	41211.3520839	14013.9581447	84180.1312182	19467.0795143	3950.26728477	74140.1227558	3041.67259796	817.785988249	56768.2507903	15054.4783079	88356.6945062	29171.1144059	11651.5535929	261921.983814	5545.90191708	1614.08575153	102973.845273	14665.493	210701.266012
Employment: Low-skilled male	11295.3210285	172.942443778	18272.9989586	313.118491069	118.829138818	9381.10269755	2562.32788722	11593.5873124	22424.4877402	335.286260168	33382.6195601	236.935729967	159.825507507	44202.6076745	5190.51257135	25392.5889634	1002.11120068	377.23797392	17277.232175	180.71160132	80.9452272431	10687.953703	1653.60721195	15254.5283613	106.644138452	15.5194112242	1091.59802079	2.07960842724	0.858455121331	528.110572264	152.01956159	473.120733034	33537.0716721	259.729495982	18640.1077371	722.085188203	412.016168316	11685.8060385	2518.96172216	17121.7986021	6242.87285417	461.424646387	17631.1282191	589.731640377	282.872040963	12651.4031832	1997.96280097	12991.859796
Employment: Low-skilled female	6000.0700373	89.8174847474	9532.44428944	176.097608197	64.7169040779	5076.43459076	1114.43715478	14217.1478165	11175.3681545	93.4320643049	13477.1240235	79.8183399361	50.9023796197	12890.1772356	1155.88312486	10645.5488932	539.335228501	108.89501562	7608.8518451	68.7359147033	29.3198357183	4110.59454547	574.617065558	14067.3267968	52.3969819263	6.86594478968	449.547485725	0.811527387146	0.378829756714	237.444686112	56.4733120925	274.220284287	18926.3459052	107.435986538	10168.3913551	402.87605819	230.362056409	7872.84442143	1473.83076292	16233.6357318	2992.04997568	152.092099711	7076.0136031	96.575541275	43.8671288018	3772.49855152	233.395953714	4086.75078087
Employment: Medium-skilled male	19114.6730239	918.188456666	71313.2213024	1528.14430398	593.903623679	43673.7428916	14152.6177684	44451.7985569	135222.657584	797.65366881	158409.198034	943.526498033	622.40634045	128296.249081	20142.5644167	99283.1754364	11572.5634629	1519.14880478	86676.7193084	1084.77343365	422.350652886	40609.788558	10103.0668329	55426.1423465	479.170345067	71.3996763591	4817.17735499	10.3555428884	3.82410327332	2357.53772771	647.546626256	1934.02954071	13979.3848504	578.457558408	22932.183337	809.494771429	316.480701183	17462.1241985	5457.39977236	19884.5707242	31203.6348728	922.017632684	79714.6492765	2147.17008294	1045.81046332	39037.772793	7391.90693159	44758.4483658
Employment: Medium-skilled female	7877.73629801	275.034017585	31118.5751899	590.713824304	216.453173011	24527.8336196	4693.56007393	38342.7195456	75555.5527668	366.218643949	73092.3601023	408.721695819	257.104646086	67153.7201104	6256.50391818	46454.3414067	3208.90477753	431.332458511	36527.2373249	413.997496274	149.617380413	22969.6929903	2894.89694154	46301.3868415	231.686780527	31.8449441285	2179.15771296	4.59601542565	1.73342288715	1263.3069156	251.870199051	1523.94601181	4471.70365003	96.0043744924	8390.69253738	261.043574604	99.956124429	7527.98696205	1486.992806	10680.5993183	15727.5771718	533.705239406	35282.2867055	518.398420546	228.978931606	21005.1070659	1263.26193509	18710.9916923
Employment: High-skilled male	2022.05323529	218.044535517	17007.1009971	687.589652465	268.369562362	14454.5690279	4033.30221107	39488.2141139	1793.16224792	110.438816432	14081.0742883	193.535400385	147.176202133	13883.130687	2148.78444379	48905.2943784	683.069540587	409.10258787	14214.485351	356.191721046	124.276201598	7733.99247907	1804.80549843	38659.9573125	23.3040692615	21.8146864833	668.939305237	3.89930432279	1.00692826729	674.772016621	170.229676215	1403.23952115	3103.47612285	104.852869978	4834.63112392	264.853443968	90.5600421629	4331.93086052	1780.59244083	11380.9133319	553.543090221	140.148404798	8073.17623736	709.68395693	356.038789414	4807.81689753	664.072229886	18995.5218315
Employment: High-skilled female	895.2328237	150.818105655	9637.21573706	415.897027728	158.786890154	10065.5661993	2539.76608654	48809.9549887	584.426238998	39.3935238573	4991.53339801	72.6695887302	45.2740274354	6587.261358	983.377319211	29242.4930129	363.810180731	180.470243117	6692.85332847	146.35429623	53.016500669	4511.23601406	1146.53173177	40693.4085471	15.4678591816	13.7392126067	291.569374832	1.81450479975	0.634165460085	455.368186424	107.959033332	1571.4901489	1098.52377098	30.0715846756	1721.84369426	94.5213137194	32.2921356338	1982.97791998	735.074894671	8988.43641263	155.006379141	44.8663155716	2584.09142363	53.4429802267	22.5217299622	1515.16335513	199.52031447	12729.5791958
Employment hours: Low-skilled male	25210.0606376	374.512519463	40263.2998831	668.437626974	253.81277493	19596.6193956	5435.76057353	23246.7438999	46642.7521873	782.017222811	75712.0630905	553.978690863	372.304643083	107663.638694	12376.3070978	59384.4758471	2190.21932615	871.600066153	38800.0178293	402.596963873	182.827080646	23954.6751619	3703.35405093	32895.6423876	209.362828887	34.0687307296	2428.44411626	4.51280597824	1.89175063186	1112.35638719	328.575017372	978.324836332	78922.2367408	590.365285288	43242.5455688	1676.94803621	963.117276397	26423.5953729	5639.39592567	38336.0514253	11364.476597	1073.27990341	39369.2137427	1351.53614842	644.00184458	28739.628382	4577.74319319	29774.2654663
Employment hours: Low-skilled female	13410.5675249	188.78875733	20438.3387354	359.714918437	132.520619815	10183.4270838	2274.30198431	25757.0030215	23031.9066967	213.973295611	29759.4232054	180.901868923	115.230920346	30505.7663324	2651.43206749	24484.7614041	1175.68269617	241.258784225	16737.2809672	149.345022913	63.9909728698	9319.11855408	1242.83031783	28712.8319816	103.747276437	14.5149932045	979.563660132	1.71734785615	0.806840782569	472.236777453	118.623442745	529.92179979	44536.0674068	245.50411233	23542.5220929	933.750858641	538.079736594	17581.3977539	3281.64413077	35307.4724761	5538.50435072	349.493606527	15504.8312896	212.700447527	95.0406303398	8357.37890237	513.665676988	9187.43207861
Employment hours: Medium-skilled male	38527.1779922	1909.96031191	149635.702175	3119.76709619	1209.06741657	86942.7843899	28818.0674026	87833.2502516	278443.746326	1814.02621252	351003.842832	2139.87481729	1414.37161356	300339.680767	47232.0559467	226607.478718	23915.7996351	3447.21378858	188541.84482	2231.03906337	899.775727884	84669.9436457	22434.9161189	118221.322987	865.654770175	153.226114398	10393.92369	21.6976179887	8.21388681634	4739.05922399	1359.4234912	3913.13590237	32532.3494373	1280.88714849	50895.1504437	1806.18296554	714.023559649	37778.3671444	11683.488627	43144.9781153	52153.8286614	2117.05249148	173616.508373	4864.84114143	2343.42994767	86156.541185	16926.2364502	100332.501901
