region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Employment: Vulnerable employment	23141.6821337	448.315200399	8182.00388251	229.938210441	87.2354347392	16287.222234	4437.57443765	19407.3126369	547070.667211	8171.26262927	110225.544414	401.226724948	290.689801146	130817.13863	28584.165464	74728.6095122	26166.1337639	437.982744675	7222.00038233	132.217945883	29.8245004938	16909.2459791	3484.36749662	20339.7049286	172.491849353	0.784483194263	129.88324286	0.26993098524	0	417.060639808	73.5553079086	490.673894322	16064.1977598	1080.55863791	5035.79262062	233.675703785	49.3682986505	15398.335943	6599.553644	24128.474435	115521.651103	9011.59067956	67867.1508484	3189.90378431	1161.80494034	35708.2330994	13818.9618908	41257.0318917
Employment hours: Vulnerable employment	91934.3126352	1983.3601702	31442.605904	972.132642095	329.746976266	55964.9360428	16148.9406856	61423.5847771	2265461.33566	37077.314788	535817.256906	1690.2087607	1277.63605822	670130.385096	139129.09478	365734.76107	110014.131023	2590.73794045	32845.1312598	543.915580317	109.935320342	75688.8050856	16345.6241288	86414.7884913	730.591780466	3.64614400862	466.776936335	1.36619829785	0.0590993596632	1536.63254887	286.361567246	1705.84043874	74473.5997754	6259.35079624	22534.9851231	899.980764118	200.489439204	69955.8723713	28365.7720599	97151.6635575	354982.42685	73135.2963917	278262.266035	12111.7105381	3857.54142554	168801.829999	62948.367913	196615.420146
CO2 - combustion - air	113071108129	384882359510	1.05682886247e+12	273326950801	96970030037.4	241494369289	637723815221	492384562465	182201777780	430893146210	3.72854765286e+12	533569068502	206648886054	143567928514	489709426378	276567541441	174973522351	349917994290	1.33669199681e+12	646195216420	81570936295.3	108690053073	473669183463	264171875271	6303358324.28	19402307818.5	45100514471.4	14474387488	6071212795.24	24006492699.3	31192985896.7	10299654310.4	15194966974.8	38760954204.9	117679315404	84961456401.4	3343492096.25	28810768104.1	23602880447.8	32732543147	102725722142	231383227968	763376436712	703172533977	13074384102.2	143198767002	283120310527	166344754377
CH4 - combustion - air	13872822.9839	48175503.1141	168695411.261	42583441.1145	6035969.85402	42841485.6435	39843601.6498	154217908.519	52560431.3566	74797500.6226	816174362.839	186639000.352	64557550.2185	123423969.742	60888228.0774	146832798.121	16770700.7919	66078845.2305	280866106.186	126462084.257	1761074.59075	23106169.8191	27442022.8913	110677972.061	355362.051736	2001521.07531	5714063.07149	2273423.09653	260152.043371	1133639.94534	835236.293219	3729693.57615	4700566.91911	15609287.7562	40835713.6047	39270177.6041	582309.950397	35670130.0942	3974369.33229	49112520.8762	8898428.56167	49960219.24	150874758.506	133867773.567	3135976.43599	32793081.4068	16877562.6406	56568678.5897
N2O - combustion - air	4578010.60363	5005534.41158	16964016.3322	4032893.7315	482326.605419	5441166.72374	12821198.9492	10223819.0357	8000613.65082	9656518.10818	47558507.9499	5054598.22451	242409.024696	3770202.40339	11148052.7209	4603125.8269	14215888.0217	3792358.91363	59084896.496	9908723.16961	1952250.63772	2541366.43276	32458524.327	4844726.18697	426808.020086	225759.212571	1628640.19323	69954.7327434	5702.47366893	711349.790291	1954391.33189	304960.120436	869982.293721	377952.431558	4729140.57087	606128.221829	71218.8087195	1772215.43965	911148.145282	840161.996256	3927475.96975	2121283.48498	12470226.0091	4667643.29076	104443.520935	2621018.89315	9855412.05624	2596887.83869
SOx - combustion - air	121419834.369	523829222.26	1760136679.11	158517409.445	18351820.8827	245299388.022	3053836516.13	862351784.994	340010790.666	1547391102.38	12351011284.4	353343555.013	9149148.97895	287208271.289	2559513507.65	759502910.818	108613625.84	219140107.116	2220681615.99	790014104.816	111583940.011	119283932.726	755621357.406	226563575.566	4801854.79411	14199311.8431	88819257.2968	2126814.28427	341373.519038	31556113.1184	21472280.117	9898825.30239	15643303.355	93473095.1936	323159419.811	146530305.954	3179654.9325	40983244.4379	41189858.2727	71064287.2915	65657910.3748	234214544.226	1613195318.11	1762686024.36	16557114.7014	326278646.943	790214899.855	265907080.797
NOx - combustion - air	1051336595.22	757554161.875	2345707161.27	557151844.885	125268805.027	620881707.627	6393129450.72	1033905491.92	1723398985.88	1025261474.32	7758389327.04	998770649.576	104222903.883	465707203.831	5835213647.87	340088886.958	1876111071.94	761356094.037	3510339836.13	1174093344.6	90746492.5436	278881904.656	3123831487.07	485730435.607	88832959.1005	32013582.8273	106850756.151	18260489.3221	2562849.51757	62053086.6418	166218792.356	28264637.3942	156368605.083	64465343.8126	418967906.063	176823298.152	17599747.8386	132484792.034	151082168.547	68527385.5388	928076199.681	455345715.39	1601948139.96	1177764634.83	20309725.7042	321650718.714	2373677184.6	318089198.075
NH3 - combustion - air	2750878.73366	1391185.96858	12768560.5779	3842399.73472	256732.746799	3660865.92887	14465076.9353	12012867.5244	9763503.55108	10384429.7898	41206866.424	8495852.27295	255959.51381	7075371.16793	15785542.9541	11996300.1254	16676214.1173	5321203.71516	65008622.0512	6921061.04389	279921.619011	2589660.73807	21261816.6675	5585509.55571	140889.616415	160305.341895	845648.775838	43599.5050328	3940.82675437	980802.632673	2074440.48249	400138.096329	898368.260777	219427.422404	4080998.3614	578135.438707	26407.5632773	2533050.35946	796334.228645	1307134.02147	9387358700.34	24478773.1203	5503329677.91	9189990.30704	1749832.02107	4189872.05648	10857945.8709	5588661092.86
CO - combustion - air	1650287950.07	397525256.028	1507014549.02	726740671.672	86511026.3657	761810773.967	2141335482.49	1819829891.69	3749668589.64	974668240.484	4377034542.49	430788305.676	28062506.284	2292677053.14	1971625495.5	3965377386.52	6127560981.64	535030178.678	5104698971.24	547816641.755	30739246.5562	276322560.941	5285625614.92	827514833.93	245667535.454	15316914.6002	72134942.7646	5186322.80362	524371.470504	66944056.9239	152964344.617	30689644.2836	499397438.303	24186100.656	334141421.558	60102294.1541	4981766.42585	417646905.087	100371825.594	414794266.365	977022865.896	523500527.165	1004806012.42	235994165.11	7312661.21192	319629751.026	1146952443.81	938834562.353
Benzo(a)pyrene - combustion - air	1288433.52063	1769.1350623	58653.850806	1227.81960963	220.221466846	10925.0480327	4430.29481508	85031.5903038	2247521.57576	4990.94949562	494426.248208	586.446780661	50.397218996	162507.441912	1573.11436607	248168.195273	2648697.39004	1715.63184847	94062.2486668	1356.67251243	429.932037324	25689.4757962	4603.62499288	57916.4788899	176715.389871	10.2096308812	3349.24887828	1.49755026063	0.00168403899797	1430.49864383	325.068218334	3752.44019508	193237.101076	603.741111613	19295.9991677	1111.4545561	324.020976365	15562.6804598	1086.1167488	31232.0934238	955797.215982	2362.82528554	158245.658533	2032.16596587	986.450343878	22373.4675634	3982.57002569	44552.8876986
