region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Employment hours: High-skilled male	4916.6046634	1407.96882804	28075.5723306	1561.44766041	826.404487554	25874.4832116	10740.0856112	72374.1513355	4651.30954806	2185.70474255	29633.7268028	650.971252144	372.157203747	24461.6392877	6027.21452559	123183.612991	2105.1976161	2652.79225861	17149.5420641	1037.76009775	201.512256921	14940.9571952	4128.4179485	78686.9980977	26.0587126315	95.8201913438	629.364307835	11.7159083054	0	733.092099375	209.801035169	2518.51447523	16403.2365666	2235.5707296	10213.4509264	737.418319003	122.157322345	8214.20215358	6322.64882132	23035.5178051	960.002896559	3423.88110303	21862.5797142	4777.43806533	1685.54322958	9953.08796018	3127.15130971	49230.6219238
Employment hours: High-skilled female	1808.83131604	965.344894626	13737.0446333	666.414483056	350.107064049	17148.2542657	5843.94891626	98716.6861032	1019.82134515	407.085175563	4753.40980057	77.5148234886	31.3400674601	11788.9571864	2470.11491156	71696.32368	570.125164442	621.200298003	5019.1857985	253.304628663	46.5550731107	7645.93555905	2082.83307558	82613.3392009	43.6128964747	26.1289718579	321.160481387	3.26467861788	0	416.897367743	110.83374446	3065.76396423	5722.05459566	429.230099013	2806.47981603	231.457412778	39.0247674202	3754.64792336	2383.25492613	20380.7597778	128.10960412	954.655520904	3099.83522568	180.26920612	58.5967462489	2034.70809405	489.720930644	35519.4566868
Employment: Vulnerable employment	23465.7899923	485.495167386	8319.27729391	237.294060657	100.123538475	16534.0866975	4653.27665496	19942.0709968	555789.576992	9771.66248115	113193.809047	422.419199662	305.708573004	133033.997334	29692.8096732	76711.2851009	26411.0515847	454.015521842	7302.67622993	134.528919242	30.3373570255	17155.0182038	3613.86072195	20739.2061595	175.530821121	0.913302160594	133.038167768	0.325897801803	0	424.328992354	75.2787781855	503.367248627	16276.426518	1126.95011322	5119.31835858	238.960492661	49.8477967924	15601.8509434	6833.89435113	24588.4063264	117012.335256	9290.08396248	69064.8686136	3303.41267351	1218.70793719	36371.8499331	14466.4790374	42251.4294708
Employment hours: Vulnerable employment	93221.8868499	2147.84548229	31970.1336145	1003.23170167	378.463570039	56813.1932665	16933.9105744	63116.0795634	2301567.0057	44339.1703649	550246.284425	1779.48423562	1343.64637024	681486.575826	144525.252504	375438.318884	111043.875098	2685.57438002	33212.0391334	553.422416981	111.825747546	76788.9254599	16953.0938031	88112.0999563	743.46339036	4.24487258014	478.115167122	1.64946244204	0.0619246021878	1563.41231669	293.071289	1749.9692121	75457.4920205	6528.08264264	22908.7597013	920.334648814	202.436727569	70880.4573036	29373.0000395	99003.5480806	359563.097859	75395.4621619	283173.031482	12542.691189	4046.47646957	171938.914257	65897.9489232	201354.343158
CO2 - combustion - air	114654711020	416801672993	1.0745597882e+12	282070830759	111296316256	245154685153	668722380519	505951961826	185105608963	515286630871	3.82895374467e+12	561751759955	217325602135	146000865171	508702932430	283905343076	176611293303	362727077061	1.35162397606e+12	657489749244	82973614857.8	110269839433	491272651055	269360593087	6414411270.04	22588335582.8	46196027128.2	17475470852.6	6361446880.06	24424867476.7	31923866992.5	10566098404.7	15395712074	40425072917.9	119631193173	86882937122	3375966341.7	29191551034.5	24440984961	33356483981.8	104051288429	238533871740	776848484799	728194082792	13714742575	145860033161	296386520903	170354078690
CH4 - combustion - air	14067117.0255	52170825.1862	171525695.25	43945708.8902	6927719.93081	43490831.5061	41780324.8174	158467302.414	53398110.4472	89447122.6392	838153129.275	196497123.078	67892978.9629	125515542.027	63249793.6634	150728519.002	16927676.3516	68497724.5445	284003617.953	128672453.701	1791357.7	23442012.9885	28461879.7397	112851847.554	361622.84172	2330188.25122	5852860.34444	2744788.96547	272588.601398	1153396.53227	854806.667763	3826177.86553	4762667.46687	16279439.1595	41513031.6301	40158308.4385	587965.736537	36141571.0712	4115493.50067	50048693.3921	9013253.32666	51504184.7801	153537392.436	138631297.268	3289570.59886	33402521.8345	17668397.0961	57932125.1215
N2O - combustion - air	4642127.34349	5420656.63812	17248629.7871	4161908.22703	553585.209723	5523638.16577	13444413.5185	10505531.0275	8128123.00709	11547815.8	48839211.4195	5321578.06009	254933.323189	3834093.16038	11580432.8129	4725254.49045	14348950.2596	3931181.83791	59744924.7226	10081912.9368	1985821.17451	2578304.64295	33664814.7107	4939883.61831	434327.549433	262830.839619	1668200.62765	84458.9723796	5975.08019457	723746.88694	2000184.56511	312849.202986	881475.881176	394179.011292	4807580.05118	619836.363636	71910.5337209	1795638.25802	943501.712233	856176.987053	3978155.87375	2186839.41431	12690300.2429	4833735.76281	109558.965994	2669729.01146	10317208.5605	2659479.32581
SOx - combustion - air	123120364.274	567271767.089	1789667338.09	163588468.832	21063106.4055	249017376.33	3202277813.75	886113437.874	345429694.632	1850458645.73	12683611773.5	372006878.987	9621848.67695	292075371.753	2658784897.33	779653799.356	109630261.037	227161940.278	2245488506.34	803822378.248	113502716.571	121017698.83	783703311.101	231013611.967	4886454.16045	16530962.3968	90976718.729	2567782.64811	357692.86646	32106059.417	21975395.903	10154900.2602	15849971.5556	97486162.7269	328519475.527	149844222.285	3210537.88115	41524907.1891	42652451.2048	72418899.7496	66505155.9391	241452686.708	1641664948.37	1825409086.3	17368050.6966	332342346.65	827242116.603	272316106.006
NOx - combustion - air	1066060954.95	820380134.996	2385062217.66	574975439.8	143775932.995	630292374.926	6703887550.09	1062394217.56	1750865565.93	1226066219.69	7967315059.95	1051524916.48	109607681.779	473599190.151	6061533909.98	349112016.635	1893671672.97	789226261.865	3549553298.7	1194614752.81	92306952.2551	282935392.685	3239925732.3	495270884.084	90398023.5125	37270491.6795	109446211.151	22046573.5886	2685366.43624	63134521.012	170113455.518	28995821.7121	158434435.906	67233025.5476	425917080.934	180822318.093	17770688.4345	134235802.183	156446880.181	69833640.1107	940052036.851	469417673.122	1630219280.3	1219673972.7	21304457.4509	327628411.055	2484900928.44	325755942.725
NH3 - combustion - air	2789405.81266	1506560.70568	12982784.8553	3965320.22219	294662.268021	3716353.45711	15168197.3476	12343875.8127	9919108.87175	12418294.157	42316526.4843	8944596.39508	269183.911528	7195272.10999	16397789.2975	12314582.1271	16832305.2715	5515991.46527	65734823.2985	7042030.91361	284735.098812	2627300.89551	22051991.9918	5695217.04412	143371.818144	186628.87386	866189.981367	52639.3175546	4129.21781972	997895.636982	2123046.5806	410489.359533	910236.863446	228848.069735	4148687.48711	591210.498227	26664.0513045	2566528.89551	824610.917694	1332050.33453	9508492589.23	25235262.6381	5600452301.16	9517005.05799	1835535.46621	4267738.40231	11366718.2508	5723361792.51
