region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Employment hours: High-skilled male	781.964568803	310.088414218	6265.41175238	127.875069468	55.9804431393	2365.50602395	1328.60067566	4621.11852432	773.086539812	486.021483612	8149.80090425	99.2828245081	38.2891129856	1523.45527447	682.988957434	6265.83375801	414.559869487	507.954223986	2354.71988428	49.3909527658	9.19456387809	895.232653114	271.448299603	2597.29792234	10.2287119993	49.6201020179	219.614985948	1.19366704948	0	85.4428236597	28.9179424332	157.275173658	4696.30933371	1422.1288675	2955.3506853	93.6352002481	4.67269072401	1110.54735105	1432.73746047	1869.80395748	406.470459576	2460.66695253	11836.2514001	1165.61664674	269.706083132	2073.80007034	1056.5516032	5794.17353787
Employment hours: High-skilled female	287.68674663	212.605749209	3065.59167787	54.5761478122	23.716169124	1567.73367932	722.924821993	6303.09991057	169.50283502	90.5209826067	1307.27207377	11.8221666346	3.22439918366	734.208725544	279.907277404	3646.89128962	112.270226774	118.946862231	689.159894675	12.0557313553	2.12420623988	458.129361233	136.948706205	2726.89846419	17.1191786717	13.5307833457	112.068087956	0.332619477016	0	48.5899224757	15.2767780167	191.449588482	1638.24610445	273.04907267	812.079296933	29.3897786858	1.49275266705	507.622557545	540.055079289	1654.31598331	54.2423047362	686.089621881	1678.22962842	43.982733983	9.37614570648	423.946598828	165.459033846	4180.4447714
Employment: Vulnerable employment	3732.13174724	106.92454518	1856.54978337	19.4332447128	6.78234464714	1511.58503781	575.632888939	1273.30921325	92376.87505	2172.86342661	31130.306811	64.4252278895	31.4525957702	8285.27240302	3364.71533175	3901.98134424	5200.91891339	86.9344749202	1002.69481615	6.40274328367	1.38422729875	1027.89481692	237.615561267	684.559055134	68.9003421476	0.472949863138	46.423311556	0.0332038675423	0	49.4560878481	10.3760564015	31.4340744197	4660.00313204	716.894467713	1481.31920624	30.3424976097	1.90674888097	2109.34597331	1548.58773822	1995.85265876	49543.6606056	6676.57605648	37391.2483574	805.978591589	195.007127941	7578.34606217	4887.70133132	4972.7609567
Employment hours: Vulnerable employment	14826.5352909	473.037461004	7134.53134684	82.1598615159	25.6370320853	5193.99555976	2094.80686144	4029.98693692	382539.681394	9859.42380204	151327.495735	271.397885081	138.240042554	42442.5487684	16377.2421094	19096.9726849	21866.9895957	514.231314469	4560.18292808	26.3394791493	5.10236446527	4601.04078815	1114.68570849	2908.40138374	291.828418753	2.1981902512	166.837004262	0.168054316839	0.00805697375087	182.217709066	40.3955045183	109.281369806	21603.768417	4152.75377002	6628.84848329	116.861375581	7.74349176089	9582.92754764	6656.03905455	8036.16517639	152240.975686	54185.0363755	153307.946005	3060.21123559	647.482247825	35824.7544789	22264.5394121	23698.2991737
CO2 - combustion - air	18235332674.1	91795618800.5	239801327872	23100247285.2	7539185952.62	22412617086.4	82724201533.5	32305235226.5	30766100009.9	114581063007	1.05303024821e+12	85675521333.8	22359380528	9092840651.71	57644950912.1	14441074096.9	34778661224.8	69454647400.1	185584888541	31292439571.9	3785904707.05	6607151042.88	32301750315.5	8891045861.45	2517820678.78	11697279042.3	16119979672	1780476014.93	827684130.691	2846749605.54	4400228755.74	659827441.069	4407851220	25715877563.6	34616324225.2	11032138754.8	129135497.624	3946652282.01	5538424751.08	2707561700.34	44055882725.6	171428971272	420580466079	177667430399	2194514763.05	30391025201.3	100138312098	20049738480.7
CH4 - combustion - air	2237313.72608	11490004.6991	38278083.6735	3598942.64768	469282.097946	3976033.95875	5168428.79947	10118200.6721	8875212.45611	19889796.8256	230506988.753	29968741.8187	6985117.89176	7817027.80752	7167309.28502	7666927.60287	3333433.04465	13115881.3521	38995150.0689	6124011.79889	81735.7368371	1404599.13029	1871401.8191	3725010.183	141946.225533	1206678.64597	2042339.90758	279650.88668	35466.3434025	134429.843945	117822.3453	238935.608338	1363569.90202	10355950.7506	12012156.0637	5099183.40156	22490.522798	4886284.17774	932587.254703	4062476.29261	3816260.5916	37014908.4013	83124096.0561	33823766.1367	526368.701696	6959664.41841	5969513.92149	6818292.62468
N2O - combustion - air	738310.145922	1193835.25222	3849245.40479	340840.309379	37499.7302439	504983.973918	1663139.15282	670782.360045	1350962.00883	2567815.52345	13431650.0937	811620.019941	26228.6225205	238784.873708	1312265.84021	240353.878106	2825624.96813	752739.085897	8203283.89548	479836.608414	90608.6801789	154486.923152	2213500.86732	163055.520844	170484.685077	136105.89681	582114.131416	8605.04279605	777.414187353	84353.6271742	275695.599229	19536.6805362	252369.9144	250751.78499	1391115.0209	78704.9908234	2750.67983994	242767.49873	213801.254084	69496.2940376	1684372.88269	1571632.69266	6870441.91408	1179352.36293	17530.6803597	556257.94064	3485812.5385	313006.09523
SOx - combustion - air	19581757.9714	124934870.136	399386436.04	13397110.4805	1426809.81073	22765753.3857	396137295.457	56578697.5992	57413303.6324	411474907.316	3488218386.71	56736597.1394	989936.638101	18190267.6434	301286890.878	39657718.8878	21588617.7904	43496759.5818	308317062.698	38256966.3281	5178880.89684	7251141.55549	51529407.5952	7625289.93229	1918058.38652	8560492.61725	31746081.8106	261616.722954	46539.2095245	3742002.36984	3028980.44883	634149.105595	4537907.4461	62014538.1041	95059962.0176	19026776.7943	122807.624532	5614102.84517	9665215.69501	5878276.60284	28158645.5579	173526658.463	888786195.304	445369921.914	2779085.60447	69246005.3217	279495265.17	32050108.5239
NOx - combustion - air	169552354.12	180678982.411	532256178.883	47087729.0166	9739347.454	57622809.2189	829303401.392	67834295.9235	291008497.297	272632671.513	2191153070.69	160373232.158	11276903.6027	29495455.1383	686877944.704	17757864.1026	372905743.192	151120319.389	487371831.943	56856262.7889	4211764.49447	16952930.0528	213028899.168	16347885.538	35483539.0714	19300374.7275	38190961.6175	2246199.59124	349391.455478	7358409.33256	23447601.7234	1810719.35062	45360384.6476	42769403.4522	123242804.62	22960283.9089	679754.020577	18148471.6035	35451487.5241	5668429.84598	398023156.819	337360007.672	882589588.75	297580474.457	3408955.44624	68263821.7012	839558371.095	38339683.5015
NH3 - combustion - air	443642.851691	331802.104454	2897269.265	324740.695275	19960.3518479	339757.761268	1876379.57221	788161.410218	1648638.83525	2761378.34752	11637795.9512	1364184.34956	27694.7835448	448116.952355	1858156.69394	626391.145172	3314652.37428	1056196.97704	9025727.62188	335157.053142	12991.84027	157422.681859	1449944.21682	187987.542461	56277.1099765	96645.0142769	302254.669065	5363.11972015	537.250114005	116306.015321	292630.294942	25634.0735542	260604.293569	145578.684643	1200458.73784	75070.1629777	1019.9377557	346990.713523	186860.125476	108123.160423	4025947595.02	18136020.1898	3032046641.22	2321993.37197	293706.546563	889215.109351	3840403.99764	673608216.795
CO - combustion - air	266147119.945	94810988.2521	341951381.924	61420541.1454	6726023.6433	70702158.4789	277769566.976	119398610.77	633158908.976	259179158.584	1236178319.24	69171949.5227	3036359.24951	145206156.596	232085087.162	207053612.881	1217946376.41	106197260.544	708730950.64	26528390.6829	1426682.8789	16797350.3101	360451903.638	27851081.1644	98129722.134	9234273.87207	25782717.2182	637962.978759	71487.1903458	7938392.75186	21577867.2171	1966072.72873	144868337.742	16046220.1195	98290406.8228	7804207.6569	192410.470229	57211494.8508	23552286.5276	34310840.5628	419014866.993	387855064.607	553595527.319	59627580.5416	1227418.65784	67834912.422	405671643.853	113158888.132
