region		Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other
category		Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
America	transport	20307.6813677	0.901017845285	434.859189481	132.366325003	55.8422810261	0	0	3571.01779019	10.8286538358	150.196583124	39.3601264871	13.3589598988	0	0	793084.820682	2313.17620774	2372.0070792	27636.2227597	18461.650082	0	0	525.231124799	100.383015847	91.7290002742	0.16952483381	0.123877747929	0	0	528.197059163	0.214986306043	2.74688878099	9.05285252303	43.3287728648	0	0	533.828363575	3.30380230185	28.4802179204	13.1205450256	0	0	0
America	other	17236.2121455	2219.02692937	8714.50048956	7730.24930881	44.5642099825	0	0	24211.6729505	1363.18413189	1832.2758095	1287.93122947	0.00930995876053	0	0	4693247.49263	870414.660417	2744721.80533	507076.640441	227.447194705	0	0	302.628090515	33.438057051	35.0689922702	68.725026242	0.028061383778	0	0	627.256327733	31.0042554077	176.509135012	945.969671042	0	0	0	960.154209828	95.7315976334	226.62837369	2040.06578473	0	0	0
Oceania	food	176.759272533	0.512117803097	0.683019155221	0.753214640048	22.8697297265	0	0	521.067455355	187.288280271	155.689658541	4.63014217459	22.4743435434	0	0	74.1830688138	0	0	0.0622713073636	5.8757053049	0	0	5781.9320505	347.348523844	335.934719163	2516.20877135	250.359051022	0	0	79.2230131556	3.51748368696e-05	5.01900025057e-05	0	0.0048983957679	0	0	1059.91797868	0.0041843659733	0.12622043585	22.5543358646	0	0	0
Oceania	mining	18.7687385523	0.0226312436802	0.00917911406157	0.157376795124	128.413752105	0	0	91.7882985974	1.31419282917	6.12940587762	0.141696379483	635.120517346	0	0	0.0296078601942	0	0	55.1480986728	38.5129983641	0	0	9731.09165638	129.83061223	137.246480447	6117.85198087	1433.59203314	0	0	0.011215248563	2.00493495235e-08	0.000129899922031	0.000551961335972	8.2424964632	0	0	27.1193253485	0.000252551020721	0.0354052983343	782.511520529	0	0	0
Oceania	manufactoring	1775.21826492	3.31489924742	69.0260073042	706.815170349	225.135822794	0	0	3046.66257156	5.93934365755	9.83806372167	1622.39468682	291.099720941	0	0	3165.23903063	0.0364222637484	0.0365010194957	1561.09996025	43.3798405403	0	0	66504.8399154	2576.71552455	2417.7890273	11514.5502024	1164.57778836	0	0	571.475733293	0.265294148206	0.564551714247	341.926417912	5.18051881873	0	0	11005.0787436	1.22553100738	34.5879390285	5712.49093778	0	0	0
Oceania	electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2373.21052439	6.18858358898	6.19178925269	0	1.99439909047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oceania	gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470.112577948	7.5547527542	7.55807091031	234.156290341	2.10663433625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oceania	construction	6098.88873821	5.01796769373	13.7007178996	87.8686135537	92.2100602671	0	0	2204.84906687	0.6436689748	0.687069806968	35.1231174725	4.60298299346	0	0	4028.81745566	0.000400166542634	0.000364842846358	25.7374806459	1.90229753525	0	0	49919.2488874	353.531288056	344.783187889	162396.992948	39.8934237573	0	0	793.871610406	0.19439346763	0.396981165861	17.5795586431	0.729857589359	0	0	1127.36471271	0.16109343559	4.07476992922	24.0891399575	0	0	0
Oceania	transport	1352.13537533	0.121045864271	50.2816363879	13.1250270288	3.97351954615	0	0	301.542062825	1.99084878685	44.0060994946	2.89879482957	1.35342199344	0	0	335.660251712	0.00522388113901	3.13695200656	3.35269069832	1.65016749362	0	0	36646.5535782	11833.2899542	11113.9703967	540.649159352	172.302726452	0	0	48.4411830603	0.0118093953047	0.509077157994	1.91279857326	2.65185151191	0	0	92.7759094164	0.549291826601	6.14846646419	1.92101965873	0	0	0
Oceania	other	1062.39172596	99.5481097004	347.793630357	377.346670254	10.8809673984	0	0	679.437368669	86.3941166528	131.609488048	55.9081655408	0.00136377222075	0	0	944.357597265	85.0737231249	277.398899288	78.3803348857	0.00763655004302	0	0	240692.908674	11029.3364793	155822.525889	38834.3285076	5.54187843518	0	0	80.6498764032	1.77365497716	13.1479692986	44.7642851725	0	0	0	108.781005463	6.03156136671	19.135196845	87.5924949056	0	0	0
Africa	food	13229.0835211	14.2559644828	3.1848738028	191.623978484	317.036741861	0	0	2392.55664867	62.6385887065	2.09524562088	5.01057318749	28.0427372631	0	0	1007.86042926	0	0	2.78777989974	65.7206962851	0	0	51.0681861703	0.125486670972	2.4427553482	3.30493813543	0.347498148433	0	0	80906.6931847	273.730242364	452.986176724	4144.83750973	15.4566673893	0	0	2803.95814027	0.0167449409812	0.0366404872517	235.897696277	0	0	0
Africa	mining	22.1218036644	0	0.170321441684	39.5741233788	538.473190814	0	0	78.6579836781	0.427252597266	4.61084349391	2.63989222034	601.833050974	0	0	0.0491221782461	0	0	707.520365759	88.3698199722	0	0	0	0.00195471254165	0.0003841504895	0.280161325829	0.529098394614	0	0	4512.06743714	0.00513488052809	1.07187652748	5469.77407552	1168.42251267	0	0	45.3825092934	0.000296482748191	0.0638639577008	202.347772997	0	0	0
Africa	manufactoring	14818.4416892	37.6766820592	402.886931941	5897.54699045	809.510490174	0	0	1932.84885236	40.6885066018	62.1371892661	904.252048442	251.939620568	0	0	6049.31453327	0.000353028083653	0.000350247529888	1673.7254769	115.363844018	0	0	333.149334804	19.4884036353	18.2837798144	218.305548196	2.69620066417	0	0	142921.837825	10.5439336037	359.867721813	61453.7164457	2573.95437364	0	0	5448.48221214	3.28286845544	10.6946745517	2677.12587017	0	0	0
Africa	electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17146.2278638	0.124651723805	26.4713732052	1.57888612893	0	0	0	0	0	0	0	0	0	0
Africa	gas	0.000123298115944	0	0	5.21039528632e-08	1.1576563029e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3902.585146	0	0.0368824231851	1.95465682434e-08	8.43591417847e-09	0	0	0	0	0	0	0	0	0
Africa	construction	8765.07028853	7.33710305815	31.3913471944	543.35734204	126.501515648	0	0	2815.03931263	1.03313968322	1.46524476024	208.521830321	27.2597106909	0	0	4420.71874261	0.00198237952955	0.00179270314436	164.84067615	10.3256923012	0	0	836.166281664	0.111364638014	0.11146943425	76.6193166783	0.060089648297	0	0	79452.9193683	264.541284071	1541.84013495	170454.89207	5489.25652168	99.0348880515	0	1433.13003546	0.731240365201	7.80699095171	159.128996533	0	0	0
Africa	transport	5491.40039351	0.664767273515	247.358766423	57.6489224847	31.5344347951	0	0	1160.99086627	5.11292359582	85.6481878785	8.25112434899	3.81170380859	0	0	1459.03026503	0.0303849944854	7.8037941576	11.7673163571	33.3029384759	0	0	301.553176514	54.925738938	49.8573949072	0.105979710867	0.0760454739293	0	0	47619.0986042	1211.36934966	3144.16219432	1255.58721296	5069.67688715	17455.8042929	0	247.320623599	1.80601187473	16.0242632903	6.04035506787	0	0	0
Africa	other	3975.58630361	356.160708641	1133.66013298	435.23676687	13.1306003559	0	0	5776.1031817	160.740825167	266.806074115	79.0342442702	0.00236886094392	0	0	4585.90929563	1518.04843949	4565.81714353	74.5780194914	0.00470478150206	0	0	128.972198418	16.268343803	18.0019262398	10.0575658505	0.00491018399482	0	0	199270.898566	53131.1717148	187152.404934	29879.6701376	0	0	0	285.469615142	36.6908413102	97.8648378733	70.3138543429	0	0	0
Other	food	17210.580545	30.2043849926	21.659260002	146.622925731	399.950557719	0	0	18936.8501527	568.103255894	103.716855873	1433.74183876	446.258052044	0	0	2848.80113357	0	0	15.1355185215	92.8103448672	0	0	900.029531465	0.977600267309	232.371960881	12.8315918003	1.68553563474	0	0	1044.97397488	0.000127900923744	0.0614346284909	4.23486658014e-08	0.124812014791	0	0	99224.2887021	486.213041394	1316.52669777	6773.03950204	0	0	0
Other	mining	1182.00107932	0.023556999043	4.9722120755	214.438609345	447.671680813	0	0	3.68192557777	0.209447723215	0.318381012171	351.670417851	1139.58903106	0	0	354.939579625	0	0	1084.92275851	84.1045216631	0	0	0.107210081744	0.0449951189517	0.0498480505479	12.7705162441	7.28055832139	0	0	0.429754164361	4.58328158983e-06	0.73383109374	0.167064356619	13.0580478523	0	0	2847.0599226	0.0104579798955	1.76581630233	20902.74719	0	0	0
Other	manufactoring	44412.1623846	132.049587982	3579.35512614	21532.7830403	3461.3983825	0	0	40266.68753	478.034358238	652.78908923	29569.4428386	4287.99466085	0	0	64625.0541646	0.568593654064	0.570889130923	23875.5156224	624.491043402	0	0	10515.5397657	1295.37170743	1215.32361308	7474.72802263	154.011395038	0	0	28618.4009983	0.92038493225	15.0512454432	12769.8767205	61.9211391692	0	0	278501.205215	51.9217629488	1395.03527368	194916.583772	0	0	0
Other	electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33474.468193	0.385471945117	286.86095957	4.54864973414	0	0	0
Other	gas	1.58584121729e-06	0	0	0.00253414581025	0.00755232412039	0	0	4.72928479493e-07	0	0	6.3711657265e-07	5.57131524187e-08	0	0	0	0	0	6.17247519062e-08	1.90251254238e-08	0	0	0	0	0	0	0	0	0	0.0116363969414	0	1.03638014574e-05	0	0	0	0	9277.31163351	0	1.96718521929	0	0	0	0
Other	construction	25074.2567699	25.9878580181	95.3133974224	2454.65780921	783.345862019	0	0	7756.07935547	3.2426742856	13.9083601221	1703.86188585	812.332699995	0	0	15100.5570436	0.0266438679043	0.0207245253063	837.841419708	283.504880017	0	0	2049.42418218	0.273564653166	0.273822690437	252.148345107	0.147422621106	0	0	3145.41221684	26.3110045945	34.1405586163	2760.23879123	177.959738642	0	0	195974.728303	1136.56180443	4316.45351718	485826.245588	0	0	0
Other	transport	17231.4153815	1.8759812832	793.684583554	192.126059658	94.2614095315	0	0	3255.80189508	17.0284890441	147.812320447	60.9043939568	20.7913150288	0	0	6040.15409117	0.08401963075	13.8740916146	33.7066595947	47.7512053331	0	0	755.960943825	146.854226026	134.225048269	0.249393252055	0.179249087612	0	0	1069.87796084	0.264984054662	3.2980590465	8.41249189734	57.9685732083	0	0	90712.7788446	4010.54839454	11647.7816406	4414.2121331	0	0	0
Other	other	9750.05990306	2309.95941378	5006.83912585	4740.52486853	53.3450290824	0	0	12284.2418207	866.319154159	961.74498268	679.063618216	0.0119302728995	0	0	8160.5679793	1124.26174026	3597.61526915	894.013772141	0.10691970236	0	0	341.25652339	53.3221339503	57.0626627725	97.9326002517	0.028112468857	0	0	850.233602568	46.6301670464	277.058036968	623.808176839	0	0	0	451292.77239	193982.857376	465298.645132	111096.901957	0	0	0
